招录机关名称    职位名称    职位编码    缴费人数
自贡市中级人民法院    司法行政人员（档案管理）    33002034    9
自贡市自流井区人民法院    司法行政人员    33002035    20
自贡市贡井区人民法院    法官助理    33002036    0
自贡市沿滩区人民法院    法官助理    33002037    2
自贡市沿滩区人民法院    司法行政人员（宣传）    33002038    6
荣县人民法院    法官助理    33002039    0
富顺县人民法院    法官助理    33002040    4
攀枝花市中级人民法院    法官助理    33003041    3
攀枝花市西区人民法院    司法行政人员    33003042    20
米易县人民法院    法官助理    33003043    4
米易县人民法院    司法行政人员（会计）    33003044    17
盐边县人民法院    法官助理    33003045    0
泸州市中级人民法院    司法警察（一）    33004046    8
泸州市中级人民法院    司法警察（二）    33004047    19
泸州市龙马潭区人民法院    法官助理    33004048    4
泸州市纳溪区人民法院    司法警察    33004049    10
泸县人民法院    法官助理    33004050    4
泸县人民法院    司法警察    33004051    18
合江县人民法院    法官助理    33004052    0
叙永县人民法院    法官助理    33004053    12
古蔺县人民法院    法官助理    33004054    22
古蔺县人民法院    司法行政人员    33004055    408
古蔺县人民法院    司法行政人员（计算机）    33004056    11
德阳市旌阳区人民法院    法官助理    33005057    6
德阳市旌阳区人民法院    司法警察    33005058    2
德阳市旌阳区人民法院    司法行政人员（计算机）    33005059    121
广汉市人民法院    司法警察    33005060    3
中江县人民法院    法官助理    33005061    1
中江县人民法院    司法警察    33005062    0
中江县人民法院    司法行政人员（会计）    33005063    59
三台县人民法院    法官助理    33006064    7
三台县人民法院    司法警察    33006065    5
盐亭县人民法院    司法行政人员（计算机）    33006066    32
梓潼县人民法院    法官助理    33006067    0
平武县人民法院    司法警察    33006068    67
平武县人民法院    司法行政人员（会计）    33006069    32
广元市中级人民法院    法官助理    33007070    16
广元市中级人民法院    司法警察    33007071    4
旺苍县人民法院    司法行政人员（会计）    33007072    15
苍溪县人民法院    法官助理    33007073    0
苍溪县人民法院    司法行政人员（宣传）    33007074    18
苍溪县人民法院    司法行政人员（会计）    33007075    9
剑阁县人民法院    法官助理    33007076    0
青川县人民法院    法官助理    33007077    0
遂宁市中级人民法院    法官助理    33008078    1
船山区人民法院    法官助理    33008079    0
射洪市人民法院    法官助理    33008080    0
内江市市中区人民法院    法官助理    33009081    0
内江市东兴区人民法院    法官助理    33009082    0
资中县人民法院    法官助理    33009083    0
资中县人民法院    司法行政人员    33009084    0
资中县人民法院    司法行政人员（会计）    33009085    0
隆昌市人民法院    法官助理    33009086    0
隆昌市人民法院    司法行政人员    33009087    0
隆昌市人民法院    司法警察    33009088    0
威远县人民法院    法官助理    33009089    0
乐山市市中区人民法院    法官助理    33010090    5
峨眉山市人民法院    法官助理（一）    33010091    3
峨眉山市人民法院    法官助理（二）    33010092    3
犍为县人民法院    法官助理（一）    33010093    0
犍为县人民法院    法官助理（二）    33010094    6
犍为县人民法院    司法警察    33010095    0
马边县人民法院    法官助理    33010096    3
马边县人民法院    司法警察    33010097    65
南充市嘉陵区人民法院    法官助理    33011098    3
南充市嘉陵区人民法院    司法行政人员    33011099    70
南充市嘉陵区人民法院    司法行政人员（会计）    33011100    71
阆中市人民法院    司法警察    33011101    5
阆中市人民法院    司法行政人员    33011102    39
南部县人民法院    法官助理    33011103    5
南部县人民法院    司法行政人员（会计）    33011104    41
西充县人民法院    法官助理    33011105    6
西充县人民法院    司法警察    33011106    37
西充县人民法院    司法行政人员（宣传）    33011107    0
仪陇县人民法院    法官助理    33011108    8
仪陇县人民法院    司法行政人员（宣传）    33011109    6
营山县人民法院    法官助理    33011110    0
营山县人民法院    司法警察    33011111    165
营山县人民法院    司法行政人员    33011112    5
营山县人民法院    司法行政人员（会计）    33011113    21
蓬安县人民法院    法官助理    33011114    2
蓬安县人民法院    司法警察    33011115    4
蓬安县人民法院    司法行政人员    33011116    5
达州市中级人民法院    法官助理    33012138    5
达州市中级人民法院    司法警察    33012139    3
达州市中级人民法院    司法行政人员（会计）    33012140    19
达州市达川区人民法院    司法行政人员    33012141    125
万源市人民法院    法官助理    33012142    0
万源市人民法院    司法行政人员    33012143    5
万源市人民法院    司法行政人员（宣传）    33012144    6
宣汉县人民法院    法官助理    33012145    3
宣汉县人民法院    司法行政人员（档案管理）    33012146    5
开江县人民法院    审判辅助人员    33012147    11
渠县人民法院    法官助理    33012148    2
渠县人民法院    司法警察    33012149    1
渠县人民法院    司法行政人员（会计）    33012150    27
通江县人民法院    法官助理    33013151    1
南江县人民法院    法官助理    33013152    1
南江县人民法院    司法行政人员    33013153    28
广安市中级人民法院    司法行政人员    33014131    361
广安市中级人民法院    司法行政人员（宣传）    33014132    30
广安市广安区人民法院    法官助理    33014133    25
广安市前锋区人民法院    法官助理    33014134    3
广安市前锋区人民法院    司法行政人员    33014135    8
邻水县人民法院    审判辅助人员    33014136    3
邻水县人民法院    法官助理    33014137    9
宜宾市南溪区人民法院    法官助理    33015117    3
宜宾市南溪区人民法院    司法行政人员（计算机）    33015118    23
江安县人民法院    法官助理    33015119    2
长宁县人民法院    法官助理    33015120    3
长宁县人民法院    司法警察    33015121    1
高县人民法院    法官助理    33015122    0
高县人民法院    司法行政人员（会计）    33015123    6
筠连县人民法院    法官助理    33015124    4
珙县人民法院    法官助理    33015125    5
珙县人民法院    司法行政人员    33015126    33
兴文县人民法院    法官助理    33015127    1
兴文县人民法院    司法行政人员    33015128    179
屏山县人民法院    法官助理    33015129    4
屏山县人民法院    司法行政人员（会计）    33015130    28
天全县人民法院    法官助理    33016154    4
芦山县人民法院    法官助理    33016155    0
汉源县人民法院    司法行政人员    33016156    29
汉源县人民法院    司法行政人员（计算机）    33016157    26
石棉县人民法院    司法警察    33016158    113
石棉县人民法院    司法行政人员（计算机）    33016159    8
茂县人民法院    法官助理    33017178    5
红原县人民法院    司法行政人员（会计）    33017179    6
红原县人民法院    法官助理    33017180    0
若尔盖县人民法院    法官助理    33017181    1
汶川县人民法院    法官助理    33017182    0
汶川县人民法院    司法行政人员（会计）    33017183    20
黑水县人民法院    司法行政人员（会计）    33017184    1
康定市人民法院    司法行政人员（宣传）    33018185    5
泸定县人民法院    法官助理    33018186    7
道孚县人民法院    司法行政人员（宣传）    33018187    3
道孚县人民法院    司法行政人员（会计）    33018188    13
道孚县人民法院    司法警察    33018189    0
甘孜县人民法院    司法行政人员    33018190    0
色达县人民法院    司法行政人员    33018191    2
石渠县人民法院    司法行政人员（会计）    33018192    3
白玉县人民法院    司法行政人员（会计）    33018193    2
白玉县人民法院    司法行政人员    33018194    3
稻城县人民法院    司法警察    33018195    30
稻城县人民法院    法官助理    33018196    1
得荣县人民法院    司法警察    33018197    8
凉山州中级人民法院    法官助理    33019198    18
木里县人民法院    法官助理    33019199    2
甘洛县人民法院    法官助理    33019200    4
会东县人民法院    法官助理    33019201    3
会东县人民法院    司法行政人员（会计）    33019202    13
会理县人民法院    司法行政人员（会计）    33019203    25
宁南县人民法院    司法行政人员（计算机）    33019204    12
雷波县人民法院    法官助理    33019205    1
雷波县人民法院    审判辅助人员    33019206    64
金阳县人民法院    法官助理    33019207    4
西昌市人民法院    法官助理    33019208    3
西昌市人民法院    司法行政人员（统计）    33019209    37
冕宁县人民法院    法官助理    33019210    9
冕宁县人民法院    司法行政人员    33019211    44
普格县人民法院    法官助理    33019212    3
普格县人民法院    少数民族语言翻译（彝汉翻译）    33019213    110
喜德县人民法院    司法警察    33019214    15
喜德县人民法院    法官助理    33019215    5
眉山市东坡区人民法院    法官助理    33020160    5
仁寿县人民法院    司法警察    33020161    3
仁寿县人民法院    司法行政人员（会计）    33020162    59
洪雅县人民法院    法官助理    33020163    2
洪雅县人民法院    司法警察    33020164    0
丹棱县人民法院    法官助理    33020165    0
青神县人民法院    法官助理    33020166    0
安岳县人民法院    法官助理（一）    33023167    1
安岳县人民法院    法官助理（二）    33023168    6
安岳县人民法院    司法行政人员（一）    33023169    2
安岳县人民法院    司法行政人员（二）    33023170    40
安岳县人民法院    司法行政人员（计算机）    33023171    21
安岳县人民法院    司法行政人员（宣传）    33023172    1
安岳县人民法院    司法行政人员（会计）    33023173    2
乐至县人民法院    法官助理    33023174    1
乐至县人民法院    司法行政人员（宣传）    33023175    2
乐至县人民法院    司法行政人员（档案管理）    33023176    0
乐至县人民法院    司法警察    33023177    3
四川天府新区成都片区人民检察院    检察官助理（一）    34001001    7
四川天府新区成都片区人民检察院    检察官助理（二）    34001002    23
四川天府新区成都片区人民检察院    检察官助理（三）    34001003    10
四川天府新区成都片区人民检察院    侦查员    34001004    28
成都市高新区人民检察院    司法行政人员（宣传）    34001005    88
成都市高新区人民检察院    检察官助理    34001006    152
成都市锦江区人民检察院    检察官助理    34001007    82
成都市锦江区人民检察院    侦查员    34001008    20
成都市青羊区人民检察院    检察官助理    34001009    5
成都市青白江区人民检察院    司法行政人员（宣传）    34001010    242
成都市新都区人民检察院    侦查员    34001011    4
成都市新都区人民检察院    检察官助理    34001012    9
成都市温江区人民检察院    司法行政人员（会计）    34001013    104
都江堰市人民检察院    检察官助理    34001014    3
邛崃市人民检察院    检察官助理    34001015    14
金堂县人民检察院    检察官助理    34001016    12
自贡市大安区人民检察院    司法行政人员（宣传一）    34002017    2
自贡市大安区人民检察院    司法行政人员（宣传二）    34002018    7
荣县人民检察院    司法行政人员（会计）    34002019    36
富顺县人民检察院    侦查员    34002020    1
攀枝花市人民检察院    检察官助理    34003021    7
攀枝花市东区人民检察院    侦查员    34003022    5
米易县人民检察院    检察官助理    34003023    4
米易县人民检察院    侦查员    34003024    8
泸县人民检察院    侦查员    34004025    4
合江县人民检察院    侦查员    34004026    0
叙永县人民检察院    检察官助理    34004027    6
叙永县人民检察院    侦查员    34004028    26
古蔺县人民检察院    侦查员    34004029    0
绵竹市人民检察院    侦查员    34005030    0
中江县人民检察院    检察辅助人员    34005031    4
中江县人民检察院    侦查员    34005032    0
中江县人民检察院    司法行政人员（宣传）    34005033    23
德阳市罗江区人民检察院    侦查员    34005034    4
绵阳市人民检察院    司法行政人员（计算机）    34006035    67
绵阳市游仙区人民检察院    侦查员    34006036    6
江油市人民检察院    检察官助理    34006037    7
江油市人民检察院    司法行政人员（会计）    34006038    58
三台县人民检察院    侦查员    34006039    11
广元市利州区人民检察院    侦查员    34007040    1
苍溪县人民检察院    司法行政人员（宣传）    34007041    8
旺苍县人民检察院    检察辅助人员    34007042    6
旺苍县人民检察院    司法行政人员（宣传）    34007043    8
旺苍县人民检察院    司法行政人员（会计）    34007044    11
剑阁县人民检察院    检察官助理    34007045    4
剑阁县人民检察院    侦查员    34007046    1
广元市荣山地区人民检察院    侦查员    34007047    3
遂宁市安居区人民检察院    检察官助理    34008048    8
遂宁市安居区人民检察院    司法行政人员（会计）    34008049    56
蓬溪县人民检察院    侦查员    34008050    13
蓬溪县人民检察院    司法行政人员（宣传）    34008051    18
射洪市人民检察院    侦查员    34008052    2
内江市人民检察院    检察官助理    34009053    7
内江市人民检察院    司法行政人员（宣传）    34009054    42
内江市东兴区人民检察院    司法行政人员（宣传）    34009055    18
资中县人民检察院    检察辅助人员    34009056    10
资中县人民检察院    检察官助理    34009057    1
乐山市五通桥区人民检察院    侦查员    34010058    1
峨眉山市人民检察院    检察官助理    34010059    9
峨边彝族自治县人民检察院    侦查员（一）    34010060    4
峨边彝族自治县人民检察院    侦查员（二）    34010061    0
沐川县人民检察院    侦查员    34010062    2
沐川县人民检察院    司法行政人员（宣传）    34010063    7
夹江县人民检察院    司法行政人员（宣传）    34010064    11
南充市高坪区人民检察院    侦查员    34011065    10
阆中市人民检察院    检察官助理（一）    34011066    2
阆中市人民检察院    检察官助理（二）    34011067    4
西充县人民检察院    检察官助理    34011068    4
营山县人民检察院    司法行政人员（宣传）    34011069    8
蓬安县人民检察院    侦查员    34011070    0
万源市人民检察院    侦查员    34012087    0
万源市人民检察院    司法行政人员（宣传）    34012088    13
渠县人民检察院    检察官助理    34012089    0
巴中市恩阳区人民检察院    侦查员    34013090    3
南江县人民检察院    检察辅助人员    34013091    1
南江县人民检察院    司法行政人员（宣传）    34013092    35
广安市前锋区人民检察院    检察官助理    34014084    9
岳池县人民检察院    侦查员    34014085    16
岳池县人民检察院    司法行政人员    34014086    14
宜宾市翠屏区人民检察院    检察辅助人员    34015071    34
宜宾市翠屏区人民检察院    司法行政人员    34015072    919
宜宾市叙州区人民检察院    侦查员    34015073    3
长宁县人民检察院    检察辅助人员    34015074    1
长宁县人民检察院    侦查员    34015075    10
长宁县人民检察院    司法行政人员（宣传）    34015076    13
高县人民检察院    检察官助理    34015077    2
